Height,Chest,Waist,Hips,Skin,Eyes,Suit,Shoes,
176,84,60,88,黄色,黑色,,38,
176,86,60,89,黄色,黑色,41,38,
176,85,64,89,黄色,黑色,,39,
178,88,60,89,黄色,黑色,,39,
179,85,60,88,黄色,黑色,,39,
178,87,60,90,黄色,黑色,43,40,
177,85,61,89,黄色,黑色,,39,
175,96,68,91,黄色,黑色,,38,
175,85,62,89,黄色,黑色,39,39,
177,86,62,90,黄色,黑色,39,38,
175,86,61,90,黄色,黑色,39,37,
167,89,62,90,黄色,黑色,,,
188,99,75,95,黄色,褐色,48,43,
180,95,70,92,黄色,黑色,,,
170,84,60,89,黄色,黑色,,38,
178,89,62,90,黄色,黑色,40,39,
166,86,59,88,黄色,黑色,,36,
176,91,65,91,黄色,黑色,,38,
162,83,57,90,黄色,黑色,,37,
178,88,64,92,黄色,黑色,,39,
177,87,60,90,黄色,黑色,,39,
178,86,60,90,黄色,黑色,,39,
177,84,60,89,黄色,黑色,,39,
178,86,61,89,黄色,黑色,43,39,
170,86,59,88,黄色,黑色,37,38,
188,96,81,99,黄色,黑色,,43,
183,96,78,97,黄色,黑色,45,43,
166,86,60,90,黄色,黑色,,37,
183,89,74,91,黄色,黑色,55,42,
178,85,62,90,黄色,黑色,,37,
166,86,62,88,黄色,黑色,,,
178,90,63,91,白色,绿色,42,38,
172,84,63,89,黄色,黑色,39,38,
173,88,64,90,黄色,黑色,39,39,
175,85,64,90,黄色,黑色,,39,
110,55,52,58,黄色,黑色,30,28,
175,85,62,90,黄色,黑色,39,38,
175,86,62,88,黄色,黑色,39,38,
177,86,60,90,黄色,黑色,41,40,
172,84,61,91,黄色,褐色,38,39,
178,80,59,87,黄色,黑色,42,39,
170,88,64,86,黄色,黑色,39,38,
172,83,58,86,黄色,黑色,39,36,
180,92,72,94,黄色,深啡,42,42,
174,85,60,89,黄色,黑色,38,39,
176,87,63,90,黄色,黑色,40,39,
166,86,62,90,黄色,黑色,38,36,
166,90,64,89,黄色,黑色,,37,
179,84,60,89,黄色,黑色,38,38,
172,85,60,86,黄色,黑色,38,39,
168,82,62,84,白色,褐色,43,36,
166,88,65,90,黄色,黑色,41,35,
178,86,65,92,黄色,褐色,40,39,
170,84,61,85,黄色,黑色,38,37,
175,85,62,88,黄色,黑色,,37,
177,84,60,87,黄色,黑色,42,39,
172,86,63,89,白色,黑色,42,38,
175,86,61,90,黄色,黑色,,39,
180,93,76,94,黄色,黑色,46,43,
172,83,60,88,黄色,棕色,38,39,
173,81,62,86,黄色,黑色,39,38,
170,88,62,90,黄色,黑色,38,38,
178,83,60,90,黄色,黑色,44,39,
170,80,62,82,黄色,黑色,39,37,
168,80,59,86,白色,黑色,,36,
188,101,75,94,黄色,棕色,52,44,
172,82,60,90,黄色,黑色,42,38,
180,85,60,89,黄色,深啡,42,39,
173,88,62,89,黄色,黑色,38,37,
168,86,62,86,黄色,黑色,39,36,
175,82,62,86,黄色,黑色,39,37,
176,85,60,89,黄色,黑色,39,39,
180,105,73,100,黄色,黑色,51,43,
176,88,62,88,黄色,黑色,40,39,
176,87,60,89,黄色,黑色,40,39,
179,85,59,91,黄色,黑色,40,39,
172,88,62,88,黄色,黑色,38,38,
164,89,60,90,黄色,黑色,37,37,
168,84,60,86,黄色,黑色,39,39,
165,84,60,88,黄色,黑色,37,37,
167,84,62,88,黄色,黑色,39,37,
174,82,61,88,黄色,黑色,38,38,
173,86,61,89,黄色,黑色,38,38,
165,88,62,88,黄色,黑色,37,37,
170,85,61,86,黄色,黑色,39,37,
166,88,62,85,黄色,黑色,37,37,
164,84,70,89,黄色,黑色,12,38,
170,87,62,89,黄色,黑色,38,36,
175,85,64,90,黄色,黑色,42,38,
175,88,62,89,黄色,黑色,38,39,
181,94,76,91,黄色,黑色,43,42,
163,80,58,88,黄色,黑色,37,36,
176,82,62,89,黄色,黑色,38,38,
176,90,67,92,白色,黑色,37,40,
176,85,62,90,黄色,黑色,41,39,
177,85,60,90,黄色,黑色,39,39,
166,85,60,88,黄色,黑色,37,37,
173,83,64,90,黄色,黑色,37,37,
178,85,60,89,黄色,黑色,41,39,
176,83,62,89,黄色,黑色,48,40,
160,82,66,87,黄色,深啡,31,35,
170,75,60,80,黄色,黑色,35,37,
177,86,60,88,黄色,黑色,40,39,
176,88,60,90,黄色,黑色,37,37,
178,86,60,89,黄色,黑色,41,39,
176,84,60,88,黄色,黑色,40,38,
178,83,61,89,黄色,黑色,42,39,
186,100,75,95,黄色,黑色,50,44,
