Page,Row,Line,NO.,Category,Level,City,Height,Chest,Waist,Hips,Suit,Shoes,Skin,Eyes,Hair,advertisement,popularity
64,3,3,B212044,广告模特,3,北京,173,88,60,90,37,37,黄色,黑色,長发,*静态平面广告* 奔驰汽车《修养篇系列广告》 富士相机z808和F305 B—cool眼妆 鲜品寿司产品展示 兰vivi彩妆 epson打印机 意大利unità di misura饰品 中国风---水袖舞表演 酷派N930 拍立得相机HELLO KITTY款 汇源果鲜美软饮 Hamilton手表新品 康师傅乌龙茗茶 *动态广告宣传片&所属团体* 悠视网校花联播校花团 中国移动广告片 康师傅干拌面 同仁岑参护肤品 日本せいしん茶饮料 新加坡旅游宣传片 SOHU美女团成员随团拍摄及出席SOHU活动等 大隐剧院美女鉴赏团随团拍摄宣传片及新戏观影 裕龙大酒店 裕惠大厦企业宣传片 紫云茶轩宣传片 2010上海世博会礼仪选拔赛宣传片 2010上海世博会倒计时宣传片 中国网球公开赛校花时尚队成员 SOHU赏机会模特团 *展示走秀模特经历* 高碑店古董展展示模特 青云霓裳婚纱秀 三星相机新品展示模特 松下美容小电器展示模特 三星手机路演模特 阿迪达斯新品服装展示走秀 罗威婚纱走秀模特 ASUKALA发型走秀展示 宝苑国际开业庆典走秀模特 LEX UOMO新品走秀展示 日本资生堂造型走秀模特 毛戈平彩妆走秀模特 xinxin发型走秀模特 韩国李嘉子形象设计中心发型及妆面模特 西门子家电2010中国巡展走秀模特 *车模&特邀模特经历* 捷豹新车发布小型车展车模 10北展车展奔驰mini车模 09奥运村名车品鉴会车模 Inter体验之旅特邀模特 香港宝峰宝人瑞女郎代言展 宝马新车试驾会车模 10北京国际车展斯巴鲁展台 NBA篮球大篷车北京站特邀模特 2010进口汽车博览会捷豹展台 2010天津车展宝马展台 金港赛车城拉拉队模特 2010年首届武博会拉拉队模特 2010中国网球公开赛时尚队模特 2011天津车展宝马展台 2011摩托车展南方工业展台车模 *摄影样片&画册经历* EMETO摄影机构样片 城市花园婚纱样片 保利百合婚纱样片 纽约纽约婚纱样片 卡尔吴波摄影样片 格雅视觉摄影样片 韩服K-fashion画册 军备酷休闲服画册 灰姑娘旗袍画册 大悦城精品店法国高档服饰画册 众多淘宝网店模特 *参赛&获奖经历* 国际潜水小姐及海洋保育大使 《中国潜水小姐，代表中国赴马来西亚参加国际总决赛》 第五届全国平面模特大赛新秀奖 第8届佳丽宝瑞丽平面模特大赛50强 淘宝淘女郎大赛全国100强 第37届世界旅游小姐大赛 2010-2011国际城市旅游小接姐世界总决赛 领层汽车模特大赛16强最具亲和力奖 百威世界杯足球宝贝64强 上海世博会礼仪选拔赛100强 第二届新锐校花模特大赛最受粉丝欢迎奖 sohu高球宝贝 米娜杂志社pink粉红达人 中华小姐大赛30强,0
64,3,4,N1411870,网拍模特,3,广州,170,83,60,89,40,37,黄色,黑色,長发,,0
64,4,1,C311748,内衣模特,3,上海,168,90,62,91,19,36,白色,黑色,長发,,0
64,4,2,C312036,内衣模特,3,上海,170,88,58,88,21,36,白色,黑色,中发,2011国际游艇模特大赛《最佳上镜奖》 宝马mini车模 德国力魔产品展示秀特邀模特 上海海王新娘世界特邀模特 阿玛尼2011SPICE HAIR 特邀走秀模特 欧迪芬内衣广告特定模特,0
64,4,3,B212093,广告模特,3,广州,176,86,64,90,0,40,黄色,黑色,長发,essons爱城市发布会 卓姿乔雅发布会 兰狮运动服装发布会 丝朗发型走秀 芭曲造型走秀、展示 华为手机展示模特 coolpad手机展示走秀 华为手机展示模特 摩托罗拉手机展示、走秀模特 韩国配饰花菲走秀模特 上陌试衣走秀模特 澳门海王集团礼仪 2012广州改装车展天派电子车展展示模特 2012年丰田汽车展示模特 2012年奔驰汽车展示模特 丝郎发型杂志平面 运动服画册平面 品牌音响广告平面 微电影《导演梦》,0
64,4,4,A112095,时装模特,3,广州,177,85,60,88,40,38,黄色,黑色,長发,2007上海时装周 2008广州时装周 2009广州时装周 2010广州时装周 白马时装周 第九届中国休闲服装博览会 品牌展示：Dior彩妆， 歌莉娅 ，以纯， 班尼路 ， 伊韵儿， DBS ， 莱克儿 JOJO，索芙特护肤品，佰草集护肤品，Adidas运动装 三星手机 东芝笔记本电脑展示 平面影视广告：SEVEN影视 樱花视觉 欧尚婚纱影视 牛仔裤 淘宝网 麦购网 杂志：完美 东方模特 曾合作过汽车品牌：广州本田 宝马 别克 上海大众 2008广州国际车站奔腾车模 2008广西南宁车展 2008上海国际车展 2009广州国际车展进口雷诺展台车模 2010广州车展三菱展台车模,0
64,5,1,C312085,内衣模特,3,广州,173,88,64,90,0,40,黄色,黑色,長发,2010中国时尚内衣模特大赛全国总决赛最佳人气奖 2010第36届世界旅游小姐中国区总决赛季军 2010中国时尚内衣模特大赛广东赛区爱黛·全国争先赛季军/揭阳赛区最佳体态奖 2010世界休闲小姐广东总决赛亚军 2010从化第二届新星形象大使最具亲和力 2009年全国平面模特大赛新秀奖 平面 广告影视： 2011深圳比耐思泳衣广告拍摄 2011《便衣警官》电视剧特约模特 2010湖南卫视（“我是大美人”节目 之丰胸内衣)特约模特 2011韩丽尔内衣广告拍摄在中央CCTV-7 频道播放 王晶导演，《美丽密令》特邀佳丽角色 真之景内衣广告拍摄 http://www.tudou.com/programs/view/niWgYqXQWtw/ ， 加减瘦减肥产品广告拍摄 车展 2011澳门国际车展宝马展台模特 2011广州九州改装车展大众车模特 2010腾讯汽车宝贝 2010肇庆越野车车模 2009第五届湖南车展本田车模 2009江门摩托车博览会车展模特 清远汽车网斯巴鲁汽车拍摄模特 世纪婚礼婚纱新版样品拍摄 清远尚明样板房拍摄模特 广州著名摄影师外景拍摄模特 白马服装网网络服装特约平面模特 休閒服飾平拍摄山 服装平面拍摄模特（BENNIS服饰`蚂蚁服饰） sandy body内衣平面拍摄 T台秀： 2011贝佳儿内衣新品发布会， 2011秋鹿家居服发布会 施华洛世奇展示模特 广州粤鹏金黄金珠宝展示模特 2011深圳内衣展韩丽尔内衣走秀 2010年 露诗媚内衣 新品发布会 走秀模特 2010都市丽人风秋冬内衣走秀 ， 2010贝婷丽娜内衣秀 2010贝维诗内衣走秀模特.. 2009赏月内衣发布会走秀 班尼路2010秋冬新款发布会走秀 2011爱马仕服装秀 2-09--2010年御用为犁人坊，纤度服装订货发布会走秀模特 2010年mia mia广百 服装发布会走秀 STAGE89服装走秀 ｏｎ＆ｏｎ、韩国女装走秀 W.DOUBLEUDOT韩国服装走秀 MORINE CIMTE MARANT韩国进口服装走秀 欧时利2009年冬季服装订货发布会走秀， 黎人坊2010年春季订货发布会走秀 珠海 AZONA2009年冬季时装发布会走秀 欧美风格内衣，家居服平面拍摄 尚俐服饰时装平面拍摄，外景模特 等等花都朵几服装发布T台走秀试衣模特 苹果牛仔裤2008T台走秀模特 班尼路2010年春夏新品服装发布会T台SHOW模特 Ｓ＆Ｋ2010年春夏新品服装发布会T台SHOW模特 朵以DuoYi品牌服饰09春装发布(订货)会时装走秀 名姿新款造型晚装走秀等等 2011年哥弟彩妆发布走秀 2011福建石狮海博会《天竹》家居服装走秀模特.. 2011东莞佳兆业房地产模特. 2011琶洲会展家具展展示模特 伊可爱2010霓裳之星新闻发布走秀。 Tony＆guy广州新店开业典礼发型秀模特 JOHNNIE WALKER金牌晚宴模特、、 海洋生命之水发布会走秀,1
64,5,2,D412109,礼仪模特,3,广州,172,85,64,90,0,38,黄色,黑色,長发,迈格家居--- 展示模特 立顿饮料展示模特 2011东莞会展车展模特 喜来登酒店晚宴走秀 冬季新品试衣 广州大学生服装设计展走秀 欢乐海岸开业展示模特 美奇丝造型走秀 喜荟城发廊开张造型走秀 古莱特手表秀 全美超模大赛模特 艾迪蒙托床上用品走秀 东莞家居展模特,0
64,5,3,N1411722,网拍模特,3,上海,175,84,65,88,38,39,黄色,黑色,長发,,0
64,5,4,N1411767,网拍模特,3,北京,172,80,62,86,35,37,黄色,黑色,長发,,0
